epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,15243,0.91885,0.52999,0.93415,0.84045,0.74896,0.78878,0.62059,0.85134,0.61586,0.91144,5.71106e-05,5.71106e-06,5.71106e-06
88,15416.7,0.92175,0.52328,0.93405,0.8431,0.74908,0.78831,0.622,0.8434,0.61371,0.90949,5.07115e-05,5.07115e-06,5.07115e-06
89,15590.6,0.91741,0.51862,0.93195,0.8369,0.75435,0.78984,0.62396,0.84106,0.61121,0.90861,4.47606e-05,4.47606e-06,4.47606e-06
90,15764.5,0.90898,0.51047,0.93013,0.83202,0.75597,0.79098,0.62404,0.83931,0.60694,0.90766,3.9264e-05,3.9264e-06,3.9264e-06
91,15938.6,0.90331,0.51278,0.92926,0.83118,0.75729,0.79229,0.62516,0.836,0.60337,0.90709,3.4227e-05,3.4227e-06,3.4227e-06
92,16112.5,0.9031,0.51419,0.92762,0.83225,0.75723,0.79499,0.62578,0.83562,0.60315,0.90692,2.96546e-05,2.96546e-06,2.96546e-06
93,16286.7,0.89871,0.50644,0.92701,0.83239,0.75751,0.79328,0.62719,0.83317,0.60013,0.90661,2.55513e-05,2.55513e-06,2.55513e-06
94,16460.9,0.90166,0.51086,0.92601,0.83171,0.75688,0.79376,0.62801,0.83186,0.59855,0.90634,2.19212e-05,2.19212e-06,2.19212e-06
95,16635.1,0.90018,0.5028,0.92697,0.8327,0.75513,0.79457,0.628,0.82998,0.59762,0.9058,1.87678e-05,1.87678e-06,1.87678e-06
96,16808.9,0.89992,0.50552,0.9249,0.83256,0.75664,0.79598,0.62943,0.82843,0.59642,0.90517,1.60943e-05,1.60943e-06,1.60943e-06
97,16983.4,0.89902,0.5052,0.92814,0.83512,0.75705,0.79609,0.62951,0.8264,0.5959,0.90482,1.39032e-05,1.39032e-06,1.39032e-06
98,17157.6,0.89411,0.49919,0.92353,0.83824,0.75589,0.79535,0.62994,0.8247,0.59494,0.90451,1.21968e-05,1.21968e-06,1.21968e-06
99,17331.6,0.89725,0.50253,0.92642,0.8398,0.75629,0.79561,0.62932,0.82454,0.59378,0.90441,1.09768e-05,1.09768e-06,1.09768e-06
100,17505.5,0.89833,0.50447,0.92406,0.84065,0.75599,0.79554,0.62983,0.82385,0.59381,0.90419,1.02443e-05,1.02443e-06,1.02443e-06
